English,Telugu
- ( engine stops ) - ( parking brake clicks ),- (ఇంజిన్ ఆగారు) -( పార్కింగ్బ్రేక్క్లిక్)
You come back here!,మీరు తిరిగి ఇక్కడికి వచ్చి
Then this is it.,అప్పుడుఇదే .
You upset?,మీరు కలత?
I'm on Today Show Dissing Matt Lauer,నేనుమ్యాట్లార్Dissingటుడే షో ఉదయం
I am the man in control of your White House.,నేను మీ వైట్ హౌస్ నియంత్రణ లో మనిషిని.
Not when I've worked so hard for it.,లేదుఉన్నప్పుడు. నేనుఅలా హార్డ్ పని
The feng shui in this room is terrible.,ఈ గది ఫెంగ్ షుయ్ భయంకరమైన ఉంది.
The others have gone out into the paddocks.,ఇతరులు paddocks లోకి బయటకు వెళ్ళాను.
Anyone would have.,ఎవరైనా కలిగి ఉంటుంది.
- (SPEAKING KOREAN),(కొరియన్మాట్లాడే)
"Thanks, baby.","ధన్యవాదాలు, శిశువు."
- Higgins.,- హిగ్గిన్స్.
I remember that day.,నేను ఆ రోజు గుర్తుంచుకోవాలి.
"Judith, baby, it's me.","జుడిత్, శిశువు, అది నాకు ఉంది."
Stand down!,డౌన్ సహకరించదు!
It's Lise's car.,ఇది లిసె యొక్క కార్.
Stand down.,డౌన్ స్టాండ్.
The hour's up.,గంట అప్.
"Doke, that's fucking weird.",అదృష్టము నాశనం అని Doke.
WHAT THE FUCK ARE YOU WAITING FOR?,ఫక్ మీ కోసం వేచి ఏమిటి?
You cannot give this guy what he wants.,మీరు తనకు ఏమి ఈ వ్యక్తి ఇవ్వాలని కాదు.
"Now don't try to kid me, man cub I made a deal with you","ఇప్పుడు,నాకుకిడ్ప్రయత్నించండి,మాన్ కబ్లేదు నేనుమీరుతో ఒక ఒప్పందంచేసుకుంది"
He loves you.,అతను మీరు ప్రేమిస్తున్న.
"Let's all rise and get a good ""amen.""","లెట్ అన్ని పెరుగుదల మరియు ఒక మంచి పొందుటకు ""ఆమెన్."""
Ladies and gentlemen.,లేడీస్ అండ్ జెంటిల్మెన్
That's real jungle harmony.,నిజమైన అడవి సామరస్యాన్ని ఉంటుంది.
Screw Eddie.,స్క్రూ ఎడ్డీ.
I'm gonna leak the photos of your body to the press.,నేను పత్రికా మీ శరీరం యొక్క ఫోటోలు ఊఱుట గొన్న వద్ద.
"I had imaginary friends, and even they were mean, so, heh...","నేను కూడా వారు, కాబట్టి, heh ఊహాత్మక స్నేహితులు, మరియు అర్థం ఉండేవి..."
Look at you. The fifth generation farmer's son who's scared of a few sheep.,కొన్ని గొర్రె భయపడ్డాను ఎవరు ఐదవ తరం రైతు కొడుకు .
"Not from their backs, they don't.","వారి వెనుకభాగంలో నుండి, అలా."
Country music.,దేశం సంగీతం.
What could possibly possess you to interrupt?,బహుశా మీరు అంతరాయం ఏమి కలిగి కాలేదు?
"I didn't scare you, did I?","నేను, నేను మీరు భయ?"
( Adam laughing ),(ఆడమ్ లాఫింగ్)
"Yeah, pull his blinking' whiskers!","అవును, తన blinkin 'మీసము లాగండి!"
Real stupid? What happened?,- తెలివితక్కువదని రియల్?
What is going on?,ఏంజరుగుతుందో
Thanks For Viewing Worldwide7477 Encodes,వీక్షణ Worldwide7477 కోసం ధన్యవాదాలు సంజ్ఞ
It's Jim Baxford.,ఇది జిమ్ Baxford ఉంది.
I'm kidding.,నేను తమాషా చేస్తున్నాను.
"You know, I have to take the bus every morning.","మీరు నేను ప్రతి ఉదయం బస్సు తీసుకోవాలని, తెలిసిన."
I have your commander-in-chief.,నేను మీ కమాండర్ లో చీఫ్ కలిగి.
"And I was wondering, would you like to see it tonight nakedly?","నేను wondering జరిగినది, మీరు రాత్రి చూడాలనుకుంటున్నాను... ... చాలా వరకు?"
"Quiet, my pretty.","క్వైట్, నా అందమైన."
I fall.,నేను వస్తాయి.
You fucker.,మీరు fucker.
Not my line of work.,లేదు పని నా లైన్? .
"- Okay, I guess I'm Thicky-Thick.","- సరే, నేను Thicky-చిక్కటి am అంచనా."
DOD says I can't come out of retirement.,DOD నేను విరమణ నుండి బయటకు చెప్పేవారు.
Look at this guy.,ఈ వ్యక్తి వద్ద చూడండి.
They give me the freakin' chill bumps.,వారు నాకు freakin 'వణుకు గడ్డలు ఇవ్వాలని.
It's fucking hot in here.,ఇది ఇక్కడ వేడి నాశనం ఉంది.
Cool mask.,కూల్ముసుగు.
- I wouldn't count on it.,- నేను విశ్వాసం కాదు.
- They're over-rated.,- వారు ఎక్కువగా రేట్ చేస్తాయి.
I need the help.,నేను సహాయం అవసరం.
You embarrassed about me?,నా గురించి ఇబ్బందిపడలేదు?
That was a tasty little hors d'oeuvre.,ఆ ఒక రుచికరమైన కొద్దిగా హార్స్ డి 'ఘనతకు ఉంది
- Oh my Lord!,- లార్డ్ నా ఓహ్!
We want your money.,- మేము మీ డబ్బు కావలసిన. - SHH!
I'm Rance Holloway.,నేను Rance హోల్లోవాయ్ am.
You need therapy.,మీరు చికిత్స అవసరం.
Where's the other phone?,ఇతర ఫోన్ ఎక్కడ ఉంది?
I'm your dad.,నేను మీ తండ్రి వద్ద.
You're like a boy witch.,మీరు ఒక బాలుడు మంత్రగత్తె ఉంటాయి.
That's capitalism.,ఆ కాపిటలిజం అనేది.
Trumbull.,ట్రంబుల్.
Satan!,శాతాన్!
Am I sure?,నేను ఖచ్చితంగా యామ్?
"You were set up, Sarah.","మీరు, సారా ఏర్పాటు చేశారు."
(FRANCK SHUSHING),(ఫ్రాంక్ SHUSHING)
She ain't going anywhere.,ఆమెఎక్కడైనావెళ్ళడంలేదు
- Quiet down.,- క్వైట్ డౌన్.
OKAY.,సరే.
That's better!,ఆ ఉత్తమం.
Team three headed upstairs.,. బృందంమూడు నేతృత్వంలోమేడమీద
That's better.,ఆ ఉత్తమం.
[ DOOR CLOSES ],[డోర్ ముగిసిన]
But I still love you.,కానీ నేను ఇప్పటికీ మీరు ప్రేమ.
I'm bleeding out and I need you to sprint.,నేను బయటకు రక్తస్రావం మరియు నేను దూరం మీరు అవసరం.
